,Genome,Contig,Nitrogenase Set,Position,Location,Group No,GTDB Taxonomy,ncbi_country,Isolation Source,NCBI Taxonomy,ncbi_taxonomy_unfiltered,Organism,Regulon,PredGrowthTemp
3328,RS_GCF_000145275.1,NC_014393.1,HDDKN,"2835,2836,2837,2838,2841",3475978-3478635,,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_K;s__Clostridium_K cellulovorans,none,ATCC 35296,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium cellulovorans,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium cellulovorans;x__Clostridium cellulovorans 743B,Clostridium_K cellulovorans,,
3329,RS_GCF_000145295.1,NC_014408.1,HDKEN,"143,146,147,148,149",151908-152735,Group 3,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanothermobacteraceae;g__Methanothermobacter;s__Methanothermobacter marburgensis,none,none,d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanothermobacter;s__Methanothermobacter marburgensis,d__Archaea;p__Euryarchaeota;x__Methanomada group;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanothermobacter;s__Methanothermobacter marburgensis;x__Methanothermobacter marburgensis str. Marburg,Methanothermobacter marburgensis,,
3330,RS_GCF_000145615.1,NC_014410.1,HDKEN,"1858,1859,1863,1864,1865",1851309-1852661,,d__Bacteria;p__Bacillota_A;c__Thermoanaerobacteria;o__Thermoanaerobacterales;f__Thermoanaerobacteraceae;g__Thermoanaerobacterium;s__Thermoanaerobacterium thermosaccharolyticum,none,none,d__Bacteria;p__Bacillota;c__Clostridia;o__Thermoanaerobacterales;f__Thermoanaerobacteraceae;g__Thermoanaerobacterium;s__Thermoanaerobacterium thermosaccharolyticum,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Thermoanaerobacterales;f__Thermoanaerobacteraceae;g__Thermoanaerobacterium;s__Thermoanaerobacterium thermosaccharolyticum;x__Thermoanaerobacterium thermosaccharolyticum DSM 571,Thermoanaerobacterium thermosaccharolyticum,,
3331,RS_GCF_000146505.1,NC_017448.1,HHDDKN,"1464,1466,1467,1475,1476,1477",1776331-1777176,Group 2,d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__Fibrobacter;s__Fibrobacter succinogenes,none,none,d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__Fibrobacter;s__Fibrobacter succinogenes,d__Bacteria;x__FCB group;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__Fibrobacter;s__Fibrobacter succinogenes;sb__Fibrobacter succinogenes subsp. succinogenes;x__Fibrobacter succinogenes subsp. succinogenes S85,Fibrobacter succinogenes,,
3332,RS_GCF_000147075.1,NC_014484.1,HDKN,"343,346,347,350",423152-424507,,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__DSM-6578;f__DSM-6578;g__Spirochaeta_A;s__Spirochaeta_A thermophila_A,none,none,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Spirochaeta;s__Spirochaeta thermophila,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Spirochaeta;s__Spirochaeta thermophila;x__Spirochaeta thermophila DSM 6192,Spirochaeta_A thermophila_A,,
3333,RS_GCF_000147335.1,NC_014501.1,HDKKEN,"3651,3655,3656,3657,3658,3659",4071627-4073078,,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Gloeothece;s__Gloeothece verrucosa,India,fresh water in rice field,d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Chroococcales;f__Aphanothecaceae;g__Gloeothece;s__Gloeothece verrucosa,d__Bacteria;x__Terrabacteria group;x__Cyanobacteriota/Melainabacteria group;p__Cyanobacteriota;c__Cyanophyceae;x__Oscillatoriophycideae;o__Chroococcales;f__Aphanothecaceae;g__Gloeothece;s__Gloeothece verrucosa;x__Gloeothece verrucosa PCC 7822,Gloeothece verrucosa,,
3334,RS_GCF_000147875.1,NC_014507.1,HDKKN,"257,258,259,260,263",270076-271509,,d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanolacinia;s__Methanolacinia petrolearia,none,off shore oil field from Gulf of Guinea,d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanolacinia;s__Methanolacinia petrolearia,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanolacinia;s__Methanolacinia petrolearia;x__Methanolacinia petrolearia DSM 11571,Methanolacinia petrolearia,,
3335,RS_GCF_000152145.1,NZ_GL501401.1,HDK,"5,6,8",7048-8469,,d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Chloroflexaceae;g__Oscillochloris;s__Oscillochloris trichoides,Russia: Caucasus region,microbial mate of hydrogen sulphide water spring,d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Oscillochloridaceae;g__Oscillochloris;s__Oscillochloris trichoides,d__Bacteria;x__Terrabacteria group;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;x__Chloroflexineae;f__Oscillochloridaceae;g__Oscillochloris;s__Oscillochloris trichoides;x__Oscillochloris trichoides DG-6,Oscillochloris trichoides,,
3336,RS_GCF_000155555.1,NZ_DS989843.1,HDDKNN,"28,29,30,32,33,36",44860-46143,,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Coleofasciculaceae;g__Coleofasciculus;s__Coleofasciculus chthonoplastes,none,none,d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Oscillatoriales;f__Coleofasciculaceae;g__Coleofasciculus;s__Coleofasciculus chthonoplastes,d__Bacteria;x__Terrabacteria group;x__Cyanobacteriota/Melainabacteria group;p__Cyanobacteriota;c__Cyanophyceae;x__Oscillatoriophycideae;o__Oscillatoriales;f__Coleofasciculaceae;g__Coleofasciculus;s__Coleofasciculus chthonoplastes;x__Coleofasciculus chthonoplastes PCC 7420,Coleofasciculus chthonoplastes,,
3337,RS_GCF_000155595.1,NZ_DS989904.1,HDDK,"204,207,208,209",238437-241250,,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Phormidesmiales;f__Phormidesmiaceae;g__Phormidesmis;s__Phormidesmis sp000155595,none,none,d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Synechococcales;f__Synechococcaceae;g__Synechococcus;s__,d__Bacteria;x__Terrabacteria group;x__Cyanobacteriota/Melainabacteria group;p__Cyanobacteriota;c__Cyanophyceae;o__Synechococcales;f__Synechococcaceae;g__Synechococcus;x__unclassified Synechococcus;s__Synechococcus sp. PCC 7335,Phormidesmis sp000155595,,
3338,RS_GCF_000165505.1,NC_014632.1,HDKKE,"1418,1419,1420,1421,1424",1518624-1520021,,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Ilyobacter;s__Ilyobacter polytropus,Germany,marine mud,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Ilyobacter;s__Ilyobacter polytropus,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Ilyobacter;s__Ilyobacter polytropus;x__Ilyobacter polytropus DSM 2926,Ilyobacter polytropus,,
3339,RS_GCF_000166355.1,NC_014652.1,HDKN,"2153,2154,2155,2160",2204682-2205971,,d__Bacteria;p__Bacillota_A;c__Thermoanaerobacteria;o__Caldicellulosiruptorales;f__Caldicellulosiruptoraceae;g__Caldicellulosiruptor;s__Caldicellulosiruptor hydrothermalis,Russia,terrestrial neutral geothermal spring,d__Bacteria;p__Bacillota;c__Clostridia;o__Caldicellulosiruptorales;f__Caldicellulosiruptoraceae;g__Caldicellulosiruptor;s__Caldicellulosiruptor hydrothermalis,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Caldicellulosiruptorales;f__Caldicellulosiruptoraceae;g__Caldicellulosiruptor;s__Caldicellulosiruptor hydrothermalis;x__Caldicellulosiruptor hydrothermalis 108,Caldicellulosiruptor hydrothermalis,,
3340,RS_GCF_000166775.1,NC_014720.1,HDKE,"2123,2124,2125,2128",2313612-2314901,,d__Bacteria;p__Bacillota_A;c__Thermoanaerobacteria;o__Caldicellulosiruptorales;f__Caldicellulosiruptoraceae;g__Caldicellulosiruptor;s__Caldicellulosiruptor kronotskyensis,Russia,terrestrial neutral geothermal spring,d__Bacteria;p__Bacillota;c__Clostridia;o__Caldicellulosiruptorales;f__Caldicellulosiruptoraceae;g__Caldicellulosiruptor;s__Caldicellulosiruptor kronotskyensis,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Caldicellulosiruptorales;f__Caldicellulosiruptoraceae;g__Caldicellulosiruptor;s__Caldicellulosiruptor kronotskyensis;x__Caldicellulosiruptor kronotskyensis 2002,Caldicellulosiruptor kronotskyensis,,
3341,RS_GCF_000167195.1,NZ_AADV02000024.1,HDDKNN,"12,15,16,17,20,21",9957-11429,,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae_A;g__Crocosphaera;s__Crocosphaera watsonii,none,none,d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Chroococcales;f__Aphanothecaceae;g__Crocosphaera;s__Crocosphaera watsonii,d__Bacteria;x__Terrabacteria group;x__Cyanobacteriota/Melainabacteria group;p__Cyanobacteriota;c__Cyanophyceae;x__Oscillatoriophycideae;o__Chroococcales;f__Aphanothecaceae;g__Crocosphaera;s__Crocosphaera watsonii;x__Crocosphaera watsonii WH 8501,Crocosphaera watsonii,,
3342,RS_GCF_000167355.1,NZ_AAEW02000007.1,HDK,"87,88,89",86778-88238,,d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Desulfuromonadales;f__Desulfuromonadaceae;g__Desulfuromonas;s__Desulfuromonas acetoxidans,none,none,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfuromonadia;o__Desulfuromonadales;f__Desulfuromonadaceae;g__Desulfuromonas;s__Desulfuromonas acetoxidans,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfuromonadia;o__Desulfuromonadales;f__Desulfuromonadaceae;g__Desulfuromonas;s__Desulfuromonas acetoxidans;x__Desulfuromonas acetoxidans DSM 684,Desulfuromonas acetoxidans,,
3343,RS_GCF_000168715.1,NZ_AASE01000001.1,HDKEE,"44,47,48,49,50",53976-54800,Group 2,d__Bacteria;p__Bacteroidota;c__Chlorobiia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium ferrooxidans,none,none,d__Bacteria;p__Chlorobiota;c__Chlorobiia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium ferrooxidans,d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Chlorobiota;c__Chlorobiia;o__Chlorobiales;f__Chlorobiaceae;x__Chlorobium/Pelodictyon group;g__Chlorobium;s__Chlorobium ferrooxidans;x__Chlorobium ferrooxidans DSM 13031,Chlorobium ferrooxidans,,
3344,RS_GCF_000169095.1,NZ_AAVU01000012.1,HDKEN,"49,50,52,53,54",57078-58439,,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcoleaceae;g__Limnoraphis;s__Limnoraphis sp000169095,none,none,d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Oscillatoriales;f__Oscillatoriaceae;g__Lyngbya;s__,d__Bacteria;x__Terrabacteria group;x__Cyanobacteriota/Melainabacteria group;p__Cyanobacteriota;c__Cyanophyceae;x__Oscillatoriophycideae;o__Oscillatoriales;f__Oscillatoriaceae;g__Lyngbya;x__unclassified Lyngbya;s__Lyngbya sp. PCC 8106,Limnoraphis sp000169095,,
3345,RS_GCF_000169335.1,NZ_AAXW01000004.1,HDKKN,"155,156,157,159,160",144287-145159,Group 1,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae_A;g__Crocosphaera;s__Crocosphaera chwakensis,none,none,d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Chroococcales;f__Aphanothecaceae;g__Crocosphaera;s__Crocosphaera chwakensis,d__Bacteria;x__Terrabacteria group;x__Cyanobacteriota/Melainabacteria group;p__Cyanobacteriota;c__Cyanophyceae;x__Oscillatoriophycideae;o__Chroococcales;f__Aphanothecaceae;g__Crocosphaera;s__Crocosphaera chwakensis;x__Crocosphaera chwakensis CCY0110,Crocosphaera chwakensis,,
3346,RS_GCF_000171235.2,NZ_ABEA03000004.1,HDK,"49,50,51",53933-55309,,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Geminisphaera;s__Geminisphaera colitermitum,none,Gut of a wood-feeding termite,d__Bacteria;p__Verrucomicrobiota;c__Opitutae;o__Opitutales;f__Opitutaceae;g__Geminisphaera;s__Geminisphaera colitermitum,d__Bacteria;x__PVC group;p__Verrucomicrobiota;c__Opitutae;o__Opitutales;f__Opitutaceae;g__Geminisphaera;s__Geminisphaera colitermitum;x__Geminisphaera colitermitum TAV2,Geminisphaera colitermitum,,
3347,RS_GCF_000172795.2,NZ_CP020950.1,HDK,"374,375,376",415713-417254,,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium;s__Rhizobium sp000172795,none,none,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Rhizobium;s__,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;x__Rhizobium/Agrobacterium group;g__Rhizobium;x__unclassified Rhizobium;s__Rhizobium sp. CIAT894,Rhizobium sp000172795,,
3348,RS_GCF_000174415.1,NZ_ACJM01000023.1,HDKEEN,"11,4,5,6,7,8",9153-9974,Group 2,d__Bacteria;p__Bacillota_D;c__Dethiobacteria;o__Dethiobacterales;f__Dethiobacteraceae;g__Dethiobacter;s__Dethiobacter alkaliphilus,none,none,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Syntrophomonadaceae;g__Dethiobacter;s__Dethiobacter alkaliphilus,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Syntrophomonadaceae;g__Dethiobacter;s__Dethiobacter alkaliphilus;x__Dethiobacter alkaliphilus AHT 1,Dethiobacter alkaliphilus,,
3349,RS_GCF_000174435.1,NZ_ACJN02000001.1,HDKKE,"320,323,324,325,326",360247-361077,Group 2,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfonatronovibrionaceae;g__Desulfonatronospira;s__Desulfonatronospira thiodismutans,Russia: Altai,sediment from a highly alkaline saline soda lake on the Kulunda Steppe,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfonatronovibrionaceae;g__Desulfonatronospira;s__Desulfonatronospira thiodismutans,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfonatronovibrionaceae;g__Desulfonatronospira;s__Desulfonatronospira thiodismutans;x__Desulfonatronospira thiodismutans ASO3-1,Desulfonatronospira thiodismutans,,
3350,RS_GCF_000175935.2,NC_014840.1,HDKEN,"292,293,296,297,298",312965-314338,,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pantoea;s__Pantoea sp000175935,none,none,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae;g__Pantoea;s__,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae;g__Pantoea;x__unclassified Pantoea;s__Pantoea sp. At-9b,Pantoea sp000175935,,
3351,RS_GCF_000176015.1,NZ_ACYY01000009.1,HDKEN,"45,46,47,48,49",33583-34962,,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Pseudorhodobacter_B;s__Pseudorhodobacter_B sp000176015,none,none,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Paracoccaceae;g__Rhodobacter;s__,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Paracoccaceae;g__Rhodobacter;x__unclassified Rhodobacter;s__Rhodobacter sp. SW2,Pseudorhodobacter_B sp000176015,,
3352,RS_GCF_000176035.2,NC_015675.1,HDKEN,"6346,6347,6348,6349,6350",6567115-6568497,,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium;s__Mesorhizobium opportunistum,Australia: Northam; Western Australia,Antonio s farm; Antonio Rd.,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae;g__Mesorhizobium;s__Mesorhizobium opportunistum,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae;g__Mesorhizobium;s__Mesorhizobium opportunistum;x__Mesorhizobium opportunistum WSM2075,Mesorhizobium opportunistum,,
3353,RS_GCF_000176915.2,NC_014844.1,HDKENN,"1019,1022,1023,1026,1027,1028",1151267-1152094,Group 2,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Pseudodesulfovibrio;s__Pseudodesulfovibrio aespoeensis,Sweden,granitic rock aquifer at 600 m depth,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Pseudodesulfovibrio;s__Pseudodesulfovibrio aespoeensis,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Pseudodesulfovibrio;s__Pseudodesulfovibrio aespoeensis;x__Pseudodesulfovibrio aespoeensis Aspo-2,Pseudodesulfovibrio aespoeensis,,
3354,RS_GCF_000177215.2,NZ_CM001368.1,HDK,"471,472,475",547326-548711,,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Solidesulfovibrio;s__Solidesulfovibrio carbinoliphilus,none,ORFRC groundwater during biostimulation for uranium bioreduction,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Solidesulfovibrio;s__Solidesulfovibrio carbinoliphilus,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Solidesulfovibrio;s__Solidesulfovibrio carbinoliphilus;sb__Solidesulfovibrio carbinoliphilus subsp. oakridgensis,Solidesulfovibrio carbinoliphilus,,
3355,RS_GCF_000177635.2,NC_014836.1,HDK,"694,695,696",726408-727286,Group 1,d__Bacteria;p__Chrysiogenota;c__Chrysiogenetes;o__Chrysiogenales;f__Chrysiogenaceae;g__Desulfurispirillum;s__Desulfurispirillum indicum,none,not provided; submitted under MIGS 2.1,d__Bacteria;p__Chrysiogenota;c__Chrysiogenetes;o__Chrysiogenales;f__Chrysiogenaceae;g__Desulfurispirillum;s__Desulfurispirillum indicum,d__Bacteria;p__Chrysiogenota;c__Chrysiogenetes;o__Chrysiogenales;f__Chrysiogenaceae;g__Desulfurispirillum;s__Desulfurispirillum indicum;x__Desulfurispirillum indicum S5,Desulfurispirillum indicum,,
3356,RS_GCF_000177675.1,NZ_ADGX01000041.1,HDKEN,"47,48,49,50,51",55401-56945,,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Frankiaceae;g__Parafrankia;s__Parafrankia sp000177675,none,none,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Frankiales;f__Frankiaceae;g__Parafrankia;s__,d__Bacteria;x__Terrabacteria group;p__Actinomycetota;c__Actinomycetes;o__Frankiales;f__Frankiaceae;g__Parafrankia;x__unclassified Parafrankia;s__Parafrankia sp. EUN1f,Parafrankia sp000177675,,
3357,RS_GCF_000178115.2,NC_014828.1,HDDKK,"1555,1556,1557,1558,1561",1696181-1698904,,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ethanoligenenaceae;g__Ethanoligenens;s__Ethanoligenens harbinense,none,anaerobic activated sludge of molasses wastewater in a continuous stirred-tank reactor,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ethanoligenens;s__Ethanoligenens harbinense,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ethanoligenens;s__Ethanoligenens harbinense;x__Ethanoligenens harbinense YUAN-3,Ethanoligenens harbinense,,
3358,RS_GCF_000178155.2,NZ_ADKM02000112.1,HDK,"10,8,9",10666-12006,,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Hominimerdicola;s__Hominimerdicola alba_C,none,dairy cow rumen,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminococcus;s__Ruminococcus albus,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminococcus;s__Ruminococcus albus;x__Ruminococcus albus 8,Hominimerdicola alba_C,,
3359,RS_GCF_000178835.2,NC_015275.1,HDDKE,"445,448,449,450,451",552805-553623,Group 2,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Cellulosilyticaceae;g__Cellulosilyticum;s__Cellulosilyticum lentocellum,United Kingdom,river sediment with paper mill waste,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Cellulosilyticaceae;g__Cellulosilyticum;s__Cellulosilyticum lentocellum,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Cellulosilyticaceae;g__Cellulosilyticum;s__Cellulosilyticum lentocellum;x__Cellulosilyticum lentocellum DSM 5427,Cellulosilyticum lentocellum,,
3360,RS_GCF_000179555.1,NZ_AECZ01000006.1,HDK,"4,7,8",2452-3276,Group 2,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Solidesulfovibrio;s__Solidesulfovibrio fructosivorans,USA,marine marsh sediment,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Solidesulfovibrio;s__Solidesulfovibrio fructosivorans,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Solidesulfovibrio;s__Solidesulfovibrio fructosivorans;x__Solidesulfovibrio fructosivorans JJ],Solidesulfovibrio fructosivorans,,
3361,RS_GCF_000179575.2,NC_015636.1,HDKEN,"1137,1138,1140,1141,1144",1129908-1131236,,d__Archaea;p__Methanobacteriota_A;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanothermococcus_A;s__Methanothermococcus_A okinawensis,Japan,deep-sea hydrothermal vent chimney at the Iheya Ridge in the Okinawa Trough,d__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanothermococcus;s__Methanothermococcus okinawensis,d__Archaea;p__Euryarchaeota;x__Methanomada group;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanothermococcus;s__Methanothermococcus okinawensis;x__Methanothermococcus okinawensis IH1,Methanothermococcus_A okinawensis,,
3362,RS_GCF_000179595.2,NZ_JH556659.1,HDKEN,"645,648,649,650,651",830643-831464,Group 2,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Acetivibrionales;f__Acetivibrionaceae;g__Acetivibrio;s__Acetivibrio cellulolyticus,Canada,sewage sludge,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Acetivibrio;s__Acetivibrio cellulolyticus,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Acetivibrio;s__Acetivibrio cellulolyticus;x__Acetivibrio cellulolyticus CD2,Acetivibrio cellulolyticus,,
